2023-09-28 07:15:22,8xRSK,40
2023-09-28 07:15:22,ypcx8,20
2023-09-28 07:15:22,5vKbk,56
2023-09-28 07:16:22,5vKbk,47
2023-09-28 07:15:22,MfX7u,95
2023-09-28 07:15:22,G5p4k,73
2023-09-28 07:17:22,5vKbk,36
2023-09-28 07:15:22,YvC7Z,57
2023-09-28 07:16:22,MfX7u,94
2023-09-28 07:16:22,8xRSK,53
2023-09-28 07:16:22,YvC7Z,36
2023-09-28 07:15:22,XYef6,15
2023-09-28 07:15:22,WZqy3,61
2023-09-28 07:16:22,G5p4k,79
2023-09-28 07:16:22,WZqy3,62
2023-09-28 07:17:22,WZqy3,43
2023-09-28 07:16:22,XYef6,40
2023-09-28 07:17:22,8xRSK,20
2023-09-28 07:18:22,WZqy3,11
2023-09-28 07:19:22,WZqy3,56
2023-09-28 07:18:22,5vKbk,31
2023-09-28 07:17:22,XYef6,87
2023-09-28 07:15:22,CBo47,11
2023-09-28 07:18:22,8xRSK,40
2023-09-28 07:19:22,8xRSK,80
2023-09-28 07:16:22,CBo47,75
2023-09-28 07:19:22,5vKbk,71
2023-09-28 07:17:22,YvC7Z,27
2023-09-28 07:20:22,5vKbk,23
2023-09-28 07:15:22,CQ0uG,20
2023-09-28 07:17:22,G5p4k,29
2023-09-28 07:16:22,CQ0uG,76
2023-09-28 07:17:22,CBo47,76
2023-09-28 07:18:22,XYef6,91
2023-09-28 07:17:22,CQ0uG,47
2023-09-28 07:16:22,ypcx8,98
2023-09-28 07:18:22,YvC7Z,24
2023-09-28 07:18:22,CQ0uG,70
2023-09-28 07:17:22,MfX7u,46
2023-09-28 07:18:22,G5p4k,72
2023-09-28 07:21:22,5vKbk,30
2023-09-28 07:19:22,XYef6,85
2023-09-28 07:17:22,ypcx8,29
2023-09-28 07:19:22,G5p4k,82
2023-09-28 07:20:22,8xRSK,43
2023-09-28 07:22:22,5vKbk,32
2023-09-28 07:21:22,8xRSK,55
2023-09-28 07:18:22,MfX7u,81
2023-09-28 07:19:22,CQ0uG,23
2023-09-28 07:23:22,5vKbk,93
2023-09-28 07:19:22,MfX7u,41
2023-09-28 07:20:22,XYef6,98
2023-09-28 07:20:22,G5p4k,49
2023-09-28 07:22:22,8xRSK,12
2023-09-28 07:20:22,MfX7u,54
2023-09-28 07:21:22,MfX7u,91
2023-09-28 07:18:22,CBo47,72
2023-09-28 07:18:22,ypcx8,50
2023-09-28 07:24:22,5vKbk,72
2023-09-28 07:21:22,XYef6,86
2023-09-28 07:21:22,G5p4k,30
2023-09-28 07:19:22,CBo47,16
2023-09-28 07:22:22,MfX7u,80
2023-09-28 07:20:22,CBo47,75
2023-09-28 07:20:22,CQ0uG,72
2023-09-28 07:25:22,5vKbk,32
2023-09-28 07:21:22,CQ0uG,15
